iter	RMSE
0	6.458525799
1	5.977864037
2	5.658228436
3	5.505508981
4	5.317633151
5	5.15152594
6	5.064312809
7	4.945386389
8	4.864017339
9	4.777036055
10	4.656827623
11	4.603723433
12	4.516942819
13	4.444254342
14	4.398621747
15	4.365062466
16	4.328957834
17	4.206073444
18	4.13792781
19	4.02278016
20	3.933794402
21	3.871060812
22	3.829641269
23	3.788970285
24	3.718703817
25	3.659083765
26	3.617248262
27	3.520858555
28	3.460432755
29	3.380126548
30	3.300731808
31	3.230956913
32	3.151618255
33	3.065870333
34	3.041697402
35	3.005823352
36	2.955236565
37	2.922723669
38	2.859193781
39	2.777608867
40	2.71708557
41	2.673543374
42	2.639772466
43	2.603029417
44	2.536226029
45	2.499839682
46	2.451809205
47	2.389632109
48	2.333713772
49	2.310997685
50	2.268026616
51	2.24847117
52	2.211550058
53	2.189963808
54	2.179514809
55	2.124300398
56	2.11804518
57	2.066545288
58	2.052154474
59	2.005426026
60	1.993771157
61	1.943869652
62	1.905453066
63	1.856829216
64	1.822517352
65	1.79813987
66	1.790724898
67	1.787705188
68	1.783234672
69	1.753720684
70	1.740410962
71	1.714459706
72	1.689877962
73	1.659703347
74	1.650173237
75	1.647915213
76	1.614829299
77	1.586745878
78	1.55529434
79	1.538242767
80	1.507595287
81	1.499111143
82	1.474311603
83	1.452645439
84	1.418486316
85	1.408234786
86	1.389019756
87	1.358414589
88	1.339216262
89	1.329911391
90	1.303289151
91	1.273905478
92	1.27113541
93	1.254067121
94	1.244559912
95	1.227132733
96	1.225212038
97	1.198432279
98	1.187948836
99	1.161393126
100	1.141956012
101	1.128652913
102	1.11760957
103	1.093890105
104	1.076061652
105	1.074414932
106	1.054934492
107	1.049707156
108	1.048274839
109	1.041890031
110	1.023369494
111	1.020859176
112	1.016174512
113	1.013084888
114	1.008449425
115	0.9988423631
116	0.9853676318
117	0.9752273238
118	0.9610185073
119	0.9479369079
120	0.9352605904
121	0.9246727808
122	0.9219551007
123	0.9097195734
124	0.901754008
125	0.8954155698
126	0.8877642894
127	0.8832851446
128	0.8610000356
129	0.8575533254
130	0.8504762688
131	0.8420697193
132	0.8406130561
133	0.8289195942
134	0.8193795674
135	0.8143442298
136	0.8030974371
137	0.790364171
138	0.7832891976
139	0.7724580467
140	0.7656136202
141	0.763421765
142	0.7585330243
143	0.7555750722
144	0.7516096934
145	0.7470235652
146	0.7372841194
147	0.7317453027
148	0.7149698652
149	0.7113847202
150	0.708209987
151	0.7031928698
152	0.6950259972
153	0.6943805977
154	0.6908830328
155	0.6839991578
156	0.6750144949
157	0.6661701511
158	0.6573895907
159	0.6509603825
160	0.6394107307
161	0.6300541848
162	0.6261981026
163	0.6252953497
164	0.6203775508
165	0.617540362
166	0.6155284976
167	0.6142513665
168	0.6095458046
169	0.6030212026
170	0.5951890463
171	0.5933952703
172	0.5885708561
173	0.5880103505
174	0.5857902198
175	0.5830468677
176	0.5786272607
177	0.5682220538
178	0.5654978137
179	0.5603161259
180	0.5541640404
181	0.5455696857
182	0.5411591145
183	0.5381377928
184	0.534880955
185	0.5304883644
186	0.5283315203
187	0.5263763238
188	0.5233626892
189	0.5227202544
190	0.5161889739
191	0.5130851859
192	0.5061378586
193	0.4976750852
194	0.4899240454
195	0.4875177227
196	0.4836031705
197	0.4810810834
198	0.4806897526
199	0.4787434315
200	0.4727173128
201	0.4677348989
202	0.4659431654
203	0.4577590329
204	0.4565475039
205	0.4549836016
206	0.4509943701
207	0.446159791
208	0.4432712877
209	0.4403570865
210	0.4349671792
211	0.4307758126
212	0.4260232573
213	0.4207598244
214	0.4149532764
215	0.4099220621
216	0.406534464
217	0.4008677948
218	0.3970815662
219	0.3954458282
220	0.3925902936
221	0.3911006725
222	0.3856866602
223	0.3824028763
224	0.3775681538
225	0.3751867972
226	0.3749934102
227	0.3703148758
228	0.3663228805
229	0.3651503778
230	0.3620643932
231	0.3577158578
232	0.3566369634
233	0.3492628362
234	0.3485406764
