iter	Passed	Remaining
0	30	92310
1	44	66400
2	78	78802
3	118	88950
4	157	94330
5	195	97673
6	233	99801
7	270	101318
8	308	102510
9	346	103607
10	383	104261
11	424	105613
12	461	106006
13	499	106581
14	540	107499
15	588	109736
16	628	110282
17	668	110689
18	708	111209
19	748	111466
20	787	111684
21	826	111828
22	864	111932
23	906	112420
24	946	112638
25	985	112781
26	995	109568
27	1028	109132
28	1067	109316
29	1107	109616
30	1147	109865
31	1200	111342
32	1239	111425
33	1278	111557
34	1318	111735
35	1360	111974
36	1400	112163
37	1438	112124
38	1478	112245
39	1520	112519
40	1564	112927
41	1608	113290
42	1650	113512
43	1692	113711
44	1736	114039
45	1780	114309
46	1827	114792
47	1869	114967
48	1911	115095
49	1954	115292
50	1996	115468
51	2043	115857
52	2091	116313
53	2135	116506
54	2180	116780
55	2224	116950
56	2266	117002
57	2306	116976
58	2348	117068
59	2389	117096
60	2430	117098
61	2471	117104
62	2514	117236
63	2576	118195
64	2617	118179
65	2659	118243
66	2700	118226
67	2741	118225
68	2783	118219
69	2823	118195
70	2865	118225
71	2907	118255
72	2951	118326
73	3012	119113
74	3054	119109
75	3096	119123
76	3138	119141
77	3180	119144
78	3222	119169
79	3265	119192
80	3308	119232
81	3352	119283
82	3394	119304
83	3433	119187
84	3475	119202
85	3523	119402
86	3566	119406
87	3607	119387
88	3650	119386
89	3693	119427
90	3734	119378
91	3776	119368
92	3818	119350
93	3861	119365
94	3902	119344
95	3944	119315
96	3986	119312
97	4028	119285
98	4070	119264
99	4112	119269
100	4153	119225
101	4200	119339
102	4246	119439
103	4289	119449
104	4331	119419
105	4372	119384
106	4411	119284
107	4453	119254
108	4494	119218
109	4536	119193
110	4582	119281
111	4626	119296
112	4669	119297
113	4712	119310
114	4754	119287
115	4773	118671
116	4812	118582
117	4854	118554
118	4898	118589
119	4940	118572
120	4984	118600
121	5030	118662
122	5071	118633
123	5115	118648
124	5173	118980
125	5215	118967
126	5257	118924
127	5299	118909
128	5341	118885
129	5385	118905
130	5427	118862
131	5466	118778
132	5510	118789
133	5552	118763
134	5596	118777
135	5637	118721
136	5680	118709
137	5722	118676
138	5763	118635
139	5807	118638
140	5849	118614
141	5892	118592
142	5934	118566
143	5976	118531
144	6018	118494
145	6070	118668
146	6113	118649
147	6156	118632
148	6199	118627
149	6241	118596
150	6283	118559
151	6329	118593
152	6371	118560
153	6411	118484
154	6452	118437
155	6493	118386
156	6538	118408
157	6581	118386
158	6592	117802
159	6630	117686
160	6673	117670
161	6715	117650
162	6759	117652
163	6800	117601
164	6844	117601
165	6885	117554
166	6926	117507
167	6969	117482
168	7013	117490
169	7057	117485
170	7100	117465
171	7142	117436
172	7182	117377
173	7226	117362
174	7269	117348
175	7294	117046
176	7332	116954
177	7376	116944
178	7416	116877
179	7458	116846
180	7500	116816
181	7542	116788
182	7585	116764
183	7629	116764
184	7671	116724
185	7713	116704
186	7756	116672
187	7798	116647
188	7841	116633
189	7883	116595
190	7925	116563
191	7969	116556
192	8009	116490
193	8051	116451
194	8092	116400
195	8134	116370
196	8177	116350
197	8228	116444
198	8263	116310
199	8303	116251
200	8344	116206
201	8393	116261
202	8433	116197
203	8474	116153
204	8530	116310
205	8570	116242
206	8615	116248
207	8657	116207
208	8700	116180
209	8742	116155
210	8785	116125
211	8827	116093
212	8869	116049
213	8912	116030
214	8953	115983
215	8995	115940
216	9038	115918
217	9080	115886
218	9122	115841
219	9164	115810
220	9207	115785
221	9253	115791
222	9295	115760
223	9337	115716
224	9379	115678
225	9418	115606
226	9460	115567
227	9500	115511
228	9545	115502
229	9589	115485
230	9630	115445
231	9674	115430
232	9719	115419
233	9762	115397
234	9805	115373
235	9847	115331
236	9890	115308
237	9931	115260
238	9943	114865
239	9980	114771
240	10023	114755
241	10065	114710
242	10108	114682
243	10150	114649
244	10191	114606
245	10234	114572
246	10277	114544
247	10318	114504
248	10359	114456
249	10400	114402
250	10441	114355
251	10483	114319
252	10526	114292
253	10568	114256
254	10610	114220
255	10655	114209
256	10696	114164
257	10738	114129
258	10779	114082
259	10820	114034
260	10862	113991
261	10906	113972
262	10948	113939
263	10991	113915
264	11035	113893
265	11078	113868
266	11121	113837
267	11163	113804
268	11206	113771
269	11248	113734
270	11290	113698
271	11333	113667
272	11372	113597
273	11414	113557
274	11459	113552
275	11501	113517
276	11546	113505
277	11588	113467
278	11631	113439
279	11672	113393
280	11714	113350
281	11755	113302
282	11799	113282
283	11839	113228
284	11883	113205
285	11925	113165
286	11967	113129
287	12008	113081
288	12049	113033
289	12090	112982
290	12131	112935
291	12172	112888
292	12215	112855
293	12257	112821
294	12300	112790
295	12342	112754
296	12383	112704
297	12424	112656
298	12468	112630
299	12509	112583
300	12549	112532
301	12595	112521
302	12639	112506
303	12683	112485
304	12727	112459
305	12768	112417
306	12810	112371
307	12851	112328
308	12893	112286
309	12934	112238
310	12976	112200
311	13017	112146
312	13074	112242
313	13125	112278
314	13169	112253
315	13213	112232
316	13255	112190
317	13297	112147
318	13340	112119
319	13385	112100
320	13426	112055
321	13469	112021
322	13514	112007
323	13560	112000
324	13603	111968
325	13645	111923
326	13687	111886
327	13729	111844
328	13771	111802
329	13815	111780
330	13858	111747
331	13902	111724
332	13944	111682
333	13987	111651
334	14029	111606
335	14071	111564
336	14112	111516
337	14154	111473
338	14195	111428
339	14237	111387
340	14279	111343
341	14321	111303
342	14363	111262
343	14404	111213
344	14448	111189
345	14488	111136
346	14530	111090
347	14570	111039
348	14613	111004
349	14654	110958
350	14697	110919
351	14742	110906
352	14785	110868
353	14828	110836
354	14869	110791
355	14910	110743
356	14952	110700
357	14995	110664
358	15035	110611
359	15077	110570
360	15120	110537
361	15161	110489
362	15202	110441
363	15247	110420
364	15259	110157
365	15295	110074
366	15335	110023
367	15377	109985
368	15419	109944
369	15460	109892
370	15503	109858
371	15547	109835
372	15593	109821
373	15634	109779
374	15677	109742
375	15720	109709
376	15765	109691
377	15812	109681
378	15858	109668
379	15903	109649
380	15948	109633
381	15994	109616
382	16039	109597
383	16083	109572
384	16127	109538
385	16170	109504
386	16212	109466
387	16225	109229
388	16261	109150
389	16305	109119
390	16348	109086
391	16390	109046
392	16434	109020
393	16477	108988
394	16522	108966
395	16567	108943
396	16612	108921
397	16659	108915
398	16702	108882
399	16747	108856
400	16791	108830
401	16837	108815
402	16883	108803
403	16927	108770
404	16972	108751
405	17017	108729
406	17061	108701
407	17105	108669
408	17148	108637
409	17193	108615
410	17239	108596
411	17285	108581
412	17331	108560
413	17375	108535
414	17420	108509
415	17465	108487
416	17511	108469
417	17557	108452
418	17604	108439
419	17650	108424
420	17693	108391
421	17736	108352
422	17779	108314
423	17821	108274
424	17863	108230
425	17904	108183
426	17945	108135
427	17987	108095
428	18031	108064
429	18074	108028
430	18117	107988
431	18159	107948
432	18200	107899
433	18241	107850
434	18283	107807
435	18325	107766
436	18366	107717
437	18418	107733
438	18468	107741
439	18511	107700
440	18523	107486
441	18559	107410
442	18599	107358
443	18640	107309
444	18681	107263
445	18723	107217
446	18763	107165
447	18804	107117
448	18847	107083
449	18889	107042
450	18930	106992
451	18974	106961
452	19016	106917
453	19058	106877
454	19100	106836
455	19142	106794
456	19183	106745
457	19226	106710
458	19267	106665
459	19309	106619
460	19349	106570
461	19389	106517
462	19430	106470
463	19474	106440
464	19519	106410
465	19561	106368
466	19605	106337
467	19652	106323
468	19695	106290
469	19740	106260
470	19785	106234
471	19829	106202
472	19875	106183
473	19918	106149
474	19964	106125
475	20009	106099
476	20053	106069
477	20098	106043
478	20140	106002
479	20184	105968
480	20212	105850
481	20255	105814
482	20299	105785
483	20339	105730
484	20381	105688
485	20420	105634
486	20464	105602
487	20507	105562
488	20555	105549
489	20601	105531
490	20645	105500
491	20688	105462
492	20733	105432
493	20777	105400
494	20822	105372
495	20866	105342
496	20911	105313
497	20955	105281
498	21000	105253
499	21044	105224
500	21088	105191
501	21135	105171
502	21179	105138
503	21225	105115
504	21269	105083
505	21313	105053
506	21358	105021
507	21401	104986
508	21447	104963
509	21493	104937
510	21541	104926
511	21585	104892
512	21632	104872
513	21679	104856
514	21724	104827
515	21768	104792
516	21813	104764
517	21859	104738
518	21905	104716
519	21950	104685
520	21995	104656
521	22041	104633
522	22089	104620
523	22135	104595
524	22182	104573
525	22227	104545
526	22273	104519
527	22315	104479
528	22357	104433
529	22403	104406
530	22446	104370
531	22491	104341
532	22538	104322
533	22585	104297
534	22629	104266
535	22674	104235
536	22718	104199
537	22763	104170
538	22807	104137
539	22852	104105
540	22895	104068
541	22941	104040
542	22984	104001
543	23026	103959
544	23071	103929
545	23116	103898
546	23160	103860
547	23204	103827
548	23249	103795
549	23292	103759
550	23338	103733
551	23397	103762
552	23450	103766
553	23496	103739
554	23541	103708
555	23585	103672
556	23627	103631
557	23670	103589
558	23713	103549
559	23754	103503
560	23796	103457
561	23838	103411
562	23883	103379
563	23925	103339
564	23967	103292
565	24009	103251
566	24050	103201
567	24093	103161
