SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+],anionic,0.0,3.0,0.00035,35.74,1.97e-06,0.845,,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M100; MC12P3P 99.5wt%; DC12P3P 0.00wt%
CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],anionic,0.0,3.0,0.00023,31.08,1.62e-06,1.03,,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M95; MC12P3P 94.3wt%; DC12P3P 4.63wt%
CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],anionic,0.0,3.0,0.00023,30.27,1.3e-06,1.28,,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M90; MC12P3P 89.3wt%; DC12P3P 9.72wt%
CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],anionic,0.0,3.0,0.00021,30.04,1.16e-06,1.44,,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M85; MC12P3P 84.6wt%; DC12P3P 14.4wt%
CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],anionic,0.0,3.0,0.0002,29.34,6.02e-07,2.76,,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M80; MC12P3P 79.1wt%; DC12P3P 20.7wt%
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3.0,0.0,0.0007,40.76,2.1e-06,0.79,,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表2; SLE3S reference
CCCCCC(CCC)COCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+],anionic,3.0,3.0,0.00287,36.4,1.45e-06,1.03,,3.45,Yue et al.; Synthesis and properties of branched alcohol alkoxylate sulfates; RSC Advances 2025; DOI 10.1039/D5RA05419B; Supporting Information Table S2; C10E3P3S
CCCCCC(CCC)COC(C)COC(C)COC(C)COCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3.0,3.0,0.00115,35.2,1.3e-06,1.28,,4.24,Yue et al.; Synthesis and properties of branched alcohol alkoxylate sulfates; RSC Advances 2025; DOI 10.1039/D5RA05419B; Supporting Information Table S2; C10P3E3S
CCCCCC(CCC)COCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3.0,0.0,0.00511,33.56,1.64e-06,1.02,,3.31,Yue et al.; Synthesis and properties of branched alcohol alkoxylate sulfates; RSC Advances 2025; DOI 10.1039/D5RA05419B; Supporting Information Table S2; C10E3S
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+],anionic,3.4,3.0,0.00072,36.16,8.2e-07,2.0326,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S 10:0"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,0.00018,33.06,2.67e-06,0.623,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 2:8 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,0.0005,33.02,1.81e-06,0.9176,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 3:7 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,0.00011,33.4,3.99e-06,0.4162,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 4:6 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,6.5e-05,33.03,1.67e-06,0.9962,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 5:5 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,1.6e-05,32.13,4.72e-06,0.3521,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 6:4 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,8.8e-05,32.19,1.82e-06,0.9111,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 7:3 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,1.7e-05,33.93,2.97e-06,0.5602,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 8:2 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,2.9e-05,33.13,2.1e-06,0.7895,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/DTAB 6:4 mixture"
CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,3.4,3.0,2.6e-05,32.75,2.45e-06,0.6776,,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/TTAB 6:4 mixture"
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,0.0,4.0,9.9e-05,30.1,1.47e-06,1.13,,,"Jiang et al.; Wettability of a Polymethylmethacrylate Surface by Extended Anionic Surfactants; Molecules 2021, 26, 863; DOI 10.3390/molecules26040863; Table 1; L-C12PO4S"
CCCCCCC(CCCC)COCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic branched,0.0,4.0,0.0003,31.4,1.25e-06,1.33,,,"Jiang et al.; Wettability of a Polymethylmethacrylate Surface by Extended Anionic Surfactants; Molecules 2021, 26, 863; DOI 10.3390/molecules26040863; Table 1; G-C12PO4S"
CCCCCCCCC(CCCCCC)COCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic branched,0.0,4.0,1.5e-05,30.7,1.24e-06,1.34,,,"Jiang et al.; Wettability of a Polymethylmethacrylate Surface by Extended Anionic Surfactants; Molecules 2021, 26, 863; DOI 10.3390/molecules26040863; Table 1; G-C16PO4S"
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,0.0,4.0,0.00042,40.0,1e-06,1.66,,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing Liu et al.; Surface tension, interfacial tension and emulsification of sodium dodecyl sulfate extended surfactant; Colloids Surf. A 2016, 494, 201-208; C12P4S"
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,0.0,8.0,7.8e-05,35.5,1.08e-06,1.54,,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing Liu et al.; Surface tension, interfacial tension and emulsification of sodium dodecyl sulfate extended surfactant; Colloids Surf. A 2016, 494, 201-208; C12P8S"
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,0.0,12.0,4.3e-05,33.7,1.01e-06,1.64,,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing Liu et al.; Surface tension, interfacial tension and emulsification of sodium dodecyl sulfate extended surfactant; Colloids Surf. A 2016, 494, 201-208; C12P12S"
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic aromatic,0.0,3.0,5.9e-05,34.4,1.66e-06,1.0,,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP3S"
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic aromatic,0.0,6.0,3e-05,34.1,1.29e-06,1.29,,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP6S"
