SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCOCCO,nonionic,1,0,0.004899999999678292,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.69019608 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCO,nonionic,3,0,0.007499999993235582,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.87506126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5,0,0.009199999992679831,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.96378783 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.009900000009174093,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.9956352 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCO,nonionic,4,0,0.0006800000004599625,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.83250891 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5,0,0.000759999999508625,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.88081359 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0008999999990895758,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.95424251 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,0.001,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,0.0003000000001936504,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.47712126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCO,nonionic,2,0,3.300000000927876e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.51851394 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCO,nonionic,3,0,5.200000004372708e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.71600334 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCO,nonionic,4,0,6.400000000237447e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.80617997 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5,0,6.400000000237447e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.80617997 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,7,0,8.199999992754979e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.91381385 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,0.00010900000001490235,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.0374265 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5,0,4.899999999678287e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.69019608 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,2.6999999990115812e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.43136376 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,1e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,8.999999990895758e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.954242509 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8,0,3.4999999971771144e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.544068044 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,1.6599999998468975e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.220108088 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,7,0,1.6999999985192859e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.230448921 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9,0,2.1000000012866145e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.322219295 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,12,0,2.2999999999068293e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.361727836 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15,0,3.1000000011829645e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.491361694 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,21,0,3.899999999762034e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.591064607 converted to mol/L; https://github.com/sandialabs/P2SURF
