SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,0.000719999999285017,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.0; mol_fraction_B=1.0; logCMC(uM)=2.8573325 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,9.800000006938961e-06,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.1; mol_fraction_B=0.9; logCMC(uM)=0.991226076 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,9.800000006938961e-06,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.2; mol_fraction_B=0.8; logCMC(uM)=0.991226076 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,8.000000000148396e-06,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.3; mol_fraction_B=0.7; logCMC(uM)=0.903089987 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,5.4000000022012014e-06,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.4; mol_fraction_B=0.6; logCMC(uM)=0.73239376 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,5.200000004372709e-06,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.5; mol_fraction_B=0.5; logCMC(uM)=0.716003344 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,8.299999992812687e-06,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.6; mol_fraction_B=0.4; logCMC(uM)=0.919078092 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,9.499999993681573e-06,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.7; mol_fraction_B=0.3; logCMC(uM)=0.977723605 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,1.070000000775569e-05,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.8; mol_fraction_B=0.2; logCMC(uM)=1.02938378 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,1.2299999987555467e-05,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.9; mol_fraction_B=0.1; logCMC(uM)=1.08990511 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],anionic-cationic mixture,0.0,0.0,0.007800000005559021,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=1.0; mol_fraction_B=0.0; logCMC(uM)=3.8920946 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic mixture,0.0,0.0,0.008054054053882324,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=1.0; mol_fraction_B=0.0; logCMC(uM)=3.90601454 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic mixture,0.0,0.0,0.009243243243474381,,,,,,P2SURF mixture; updated_CMC-Data-for-mixed-micelle.csv; experimental CMC dataset; mol_fraction_A=0.8; mol_fraction_B=0.2; logCMC(uM)=3.96582438 converted to mol/L; https://github.com/sandialabs/P2SURF
