SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCC(CCCCCCCCCCCOS(=O)(=O)[O-])O.[Na+],anionic,1,0,0.00022,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 52; name=SODIUM HEXADECYL MONO OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=2.2 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCC(CCCCCCCCCCCOS(=O)(=O)[O-])O.[Na+],anionic,1,0,0.00021,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 52; name=SODIUM HEXADECYL MONO OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=2.1 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCC(CCCCCCCCCCCOS(=O)(=O)[O-])O.[Na+],anionic,1,0,0.000234,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 52; name=SODIUM HEXADECYL MONO OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=2.34 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCC(CCCCCCCCCCCOS(=O)(=O)[O-])O.[Na+],anionic,1,0,0.00024,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 52; name=SODIUM HEXADECYL MONO OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=WEIL STIR; reference=59004; original CMC=2.4 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,0.00014,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 53; name=SODIUM HEXADECYL DI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=1.4 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,0.00012,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 53; name=SODIUM HEXADECYL DI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=1.2 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,0.000134,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 53; name=SODIUM HEXADECYL DI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=1.34 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,0.00014,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 53; name=SODIUM HEXADECYL DI OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=WEIL STIR; reference=59004; original CMC=1.4 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3,0,0.0001,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 54; name=SODIUM HEXADECYL TRI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=1.0 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3,0,7e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 54; name=SODIUM HEXADECYL TRI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=7.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
