SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0076,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=01.0; additives=nan; authors=SCHI; reference=63026; original CMC=7.6 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0075,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=05.0; additives=nan; authors=SCHI MANN; reference=66001; original CMC=7.5 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0086,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=08.0; additives=nan; authors=FLOC UBBE; reference=53008; original CMC=8.6 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.006347,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=UNK; additives=nan; authors=KUSH HUBB; reference=55003; original CMC=1.83 X10-1 D 6.347X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00867,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=nan; authors=FLOC; reference=61007; original CMC=8.67 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0085,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10.5; additives=nan; authors=FLOC UBBE; reference=53008; original CMC=8.5 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00855,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=nan; authors=FLOC; reference=57013; original CMC=8.55 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0074,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=nan; authors=SCHI; reference=64020; original CMC=7.4 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00965,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=15; additives=nan; authors=SHIR MATU; reference=65020; original CMC=9.65 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00843,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=15; additives=nan; authors=FLOC; reference=61007; original CMC=8.43 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.009,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=HESS PHIL; reference=39009; original CMC=9. X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.008,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=V VO; reference=60025; original CMC=8.0 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00722,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=WARD; reference=40004; original CMC=7.22 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0085,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=WARD; reference=40004; original CMC=8.5 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0077,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=GODD HARV; reference=53012; original CMC=7.7 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0066,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=HARR; reference=60004; original CMC=6.6 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0071,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=HARR; reference=60004; original CMC=7.1 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00825,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=FLOC; reference=61007; original CMC=8.25 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00795,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=HAYD PHIL; reference=58012; original CMC=7.95 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.008,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=20; additives=nan; authors=V VO; reference=61026; original CMC=8.0 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.00867,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=21; additives=nan; authors=HUIS; reference=64047; original CMC=2.5 X10-1 D 8.67 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.007977,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=21; additives=nan; authors=HUIS; reference=64047; original CMC=2.30 X10-1 D 7.977X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.007457,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=21; additives=nan; authors=HUIS; reference=64047; original CMC=2.15 X10-1 D 7.457X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.006347,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=SCHI FOWK; reference=57014; original CMC=1.83 X10-1 D 6.347X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.007665,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=SCHI FOWK; reference=57014; original CMC=2.21 X10-1 D 7.665X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0074,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=MIYA; reference=60029; original CMC=7.4 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.008081,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=WILL MYSE; reference=55005; original CMC=2.330X10-1 D 8.081X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.008116,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=WILL MYSE; reference=55005; original CMC=2.340X10-1 D 8.116X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.003185,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=WILL MYSE; reference=55005; original CMC=2.36 X10-1 D 3.185X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.008,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25.2; additives=nan; authors=FLOC UBBE; reference=53008; original CMC=8.0 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0082,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=CORK GOOD; reference=62006; original CMC=8.2 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.0058,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=KLEV; reference=48005; original CMC=5.8 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0,0,0.006,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=STAN RADL; reference=60021; original CMC=6. X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
