Compound No.,Mol. Wgt.,Name,IUPAC,SMILES,Lookup wgt.,Method
1,288.3,SODIUM DODECYL 1 SULFATE,sodium;dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],288.38,LLM initial name and weight
2,232.2,SODIUM OCTYL 1 SULFATE,sodium;2-ethylhexyl sulfate,CCCCC(CC)COS(=O)(=O)[O-].[Na+],232.28,LLM initial name and weight
3,260.3,SODIUM DECYL 1 SULFATE,sodium;decyl sulfate,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],260.33,LLM initial name and weight
4,316.4,SODIUM TETRADECYL 1 SULFATE,sodium;tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],316.43,LLM initial name and weight
5,344.4,SODIUM HEXADECYL 1 SULFATE,sodium;hexadecyl sulfate,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],344.5,LLM initial name and weight
6,260.2,SODIUM ALPHA SULFOPELARGONIC ACID,sodium;hexyl 3-oxidoperoxysulfanylpropanoate,CCCCCCOC(=O)CCSOO[O-].[Na+],260.29,LLM initial name and weight
7,372.4,SODIUM OCTYL ALPHA SULFOPELARGONATE,sodium;1-methoxy-1-oxohexadecane-2-sulfonate,CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
8,484.6,DISODIUM ALPHA SULFOPHENYLSTEARATE,None,CCCCCCCCCC1=CC=C(C=C1)C(C(CCCC(=O)O)O)SCCC(=O)O.[Na].[Na],484.6,Found by mass lookup
9,386.5,SODIUM ALPHA SULFOSTEARIC ACID,sodium;18-hydroxy-18-oxooctadecane-1-sulfonate,C(CCCCCCCCC(=O)O)CCCCCCCCS(=O)(=O)[O-].[Na+],386.5,LLM initial name and weight
10,408.5,DISODIUM ALPHA SULFOSTEARATE,disodium;2-sulfonatooctadecanoate,CCCCCCCCCCCCCCCCC(C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],408.5,LLM initial name and weight
11,462.6,SODIUM ALPHA SULFO PHENYL STEARIC ACID,sodium;5-acetyl-2-hexadecoxybenzenesulfonate,CCCCCCCCCCCCCCCCOC1=C(C=C(C=C1)C(=O)C)S(=O)(=O)[O-].[Na+],462.6,LLM retried name and weight
12,455.4,"SODIUM 9,10 DICHLORO ALPHA SULFOSTEARIC ACID",N/A,N/A,0,Unknown
13,477.3,"DISODIUM 9,10 DICHLORO ALPHA SULFOSTEARATE",N/A,N/A,0,Unknown
14,440.5,DISODIUM 9.10 DIHYDROXY ALPHA SULFOSTEARATE,disodium;4-(2-dodecoxyethoxy)-3-sulfonatobutanoate,CCCCCCCCCCCCOCCOCC(CC(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],440.5,Found by mass lookup
15,260.3,SODIUM DECYL 2 SULFATE,sodium;decyl sulfate,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],260.33,LLM initial name and weight
16,316.4,SODIUM TETRADECYL 2 SULFATE,sodium;tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],316.43,LLM initial name and weight
17,316.4,SODIUM TETRADECYL 4 SULFATE,sodium;tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],316.43,LLM initial name and weight
18,292.4,OCTYL BETA D GLUCOSIDE,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-octoxyoxane-3,4,5-triol",CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,292.37,LLM initial name and weight
19,320.4,DECYL BETA D GLUCOSIDE,"(2R,3R,4S,5S,6R)-2-decoxy-6-(hydroxymethyl)oxane-3,4,5-triol",CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,320.42,LLM initial name and weight
20,348.5,DODECYL BETA D GLUCOSIDE,"(3R,4S,5S,6R)-2-dodecoxy-6-(hydroxymethyl)oxane-3,4,5-triol",CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,348.5,LLM initial name and weight
21,229.4,DIMETHYL DODECYL AMINE OXIDE,"N,N-dimethyldodecan-1-amine oxide",CCCCCCCCCCCC[N+](C)(C)[O-],229.4,LLM initial name and weight
22,265.9,DIMETHYL DODECYL AMINE OXIDE HYDROCHLORIDE,2-[bis(4-methylpentyl)amino]ethanol;hydrochloride,CC(C)CCCN(CCCC(C)C)CCO.Cl,265.86,LLM initial name and weight
23,373.2,SILVER DODECYL 1 SULFATE,silver;dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Ag+],373.26,LLM initial name and weight
24,570.8,CALCIUM DODECYL 1 SULFATE,calcium;dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCCCCOS(=O)(=O)[O-].[Ca+2],570.9,Found by mass lookup
25,288.3,SODIUM ETHYL ALPHA SULFOPELARGONATE,sodium;2-nonanoyloxyethanesulfonate,CCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],288.34,LLM initial name and weight
26,330.4,SODIUM AMYL ALPHA SULFOPELARGONATE,sodium;2-dodecoxy-2-oxoethanesulfonate,CCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],330.42,LLM initial name and weight
27,344.4,SODIUM HEXYL ALPHA SULFOPELARGONATE,sodium;2-dodecanoyloxypropane-1-sulfonate,CCCCCCCCCCCC(=O)OC(C)CS(=O)(=O)[O-].[Na+],344.4,LLM initial name and weight
28,358.4,SODIUM HEPTYL ALPHA SULFOPELARGONATE,sodium;2-tetradecanoyloxyethanesulfonate,CCCCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],358.5,LLM initial name and weight
29,386.5,SODIUM NONYL ALPHA SULFOPELARGONATE,sodium;18-hydroxy-18-oxooctadecane-1-sulfonate,C(CCCCCCCCC(=O)O)CCCCCCCCS(=O)(=O)[O-].[Na+],386.5,LLM initial name and weight
30,400.5,SODIUM DECYL ALPHA SULFOPELARGONATE,sodium;1-methoxy-1-oxooctadecane-2-sulfonate,CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],400.6,LLM initial name and weight
31,372.4,SODIUM 2 OCTYL ALPHA SULFOPELARGONATE,sodium;1-methoxy-1-oxohexadecane-2-sulfonate,CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
32,372.4,SODIUM 2 ETHYLHEXYL ALPHA SULFOPELARGONATE,sodium;1-methoxy-1-oxohexadecane-2-sulfonate,CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
