Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,CMC Value 1,CMC Units 1,CMC Value 2,CMC Units 2,CMC Value 3,CMC Units 3
1,288.3,SODIUM DODECYL 1 SULFATE,,,53005,,VALUES FRM REF IN CMC,KLIN LANG,57022,,R,,,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,,59016,,VALUES FRM REF IN CMC,BOTR CRES,60024,,R,,,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,,47006,,VALUES FRM REF IN CMC,CORR HARK,46005,,R,,,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,,,,GRAPH DATA NOT RETRIEVED,KLEV,46007,,R,,,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,01.0,7.6 X10-3 M,BB,SURFACE TENSION LOG PLOT,SCHI,63026,L,L,0.0076,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,05.0,7.5 X10-3 M,BB,SURFACE TENSION LOG PLOT,SCHI MANN,66001,L,L,0.0075,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,08.0,8.6 X10-3 M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,L,0.0086,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,UNK,1.83 X10-1 D 6.347X10-3 M,CC,TURBIDITY PLT LITE SCATR,KUSH HUBB,55003,K M,L,0.183,D,0.006347,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,10,8.67 X10-3 M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,0.00867,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,10,8.81 X10-3 W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,0.00881,W,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,10.5,8.5 X10-3 M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,L,0.0085,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,10,8.55 X10-3 M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,1,0.00855,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,10,7.4 X10-3 M,BB,SURFACE TENSION LOG PLOT,SCHI,64020,T,L,0.0074,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,15,8.51 X10-3 W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,0.00851,W,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,15,9.65 X10-3 M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,L,0.00965,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,15,8.43 X10-3 M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,0.00843,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,8.47 X10-3 W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,0.00847,W,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,9. X10-3 M,DE,VISCOSITY,HESS PHIL,39009,T,L,0.009,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,8.0 X10-3 M,BB,INTERFACIAL TENSION LOGM,V VO,60025,T,L,0.008,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,7.22 X10-3 M,CG,EQUIV COND 1ST DEVIATION,WARD,40004,T,L,0.00722,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,8.5 X10-3 M,CB,EQUIV CONDCTNCE GRAPH,WARD,40004,P,L,0.0085,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,7.7 X10-3 M,BG,FOTOMTR SPCTR CHNGE PNCN,GODD HARV,53012,T,L,0.0077,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,6.6 X10-3 M,BB,SURFACE TENSION LOG PLOT,HARR,60004,L,L,0.0066,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,7.1 X10-3 M,BB,SURFACE TENSION LOG PLOT,HARR,60004,G,L,0.0071,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,8.25 X10-3 M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,0.00825,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,7.95 X10-3 M,BB,INTERFACIAL TENSION LOGM,HAYD PHIL,58012,L,L,0.00795,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,20,8.0 X10-3 M,BB,SURFACE TENSION LOG PLOT,V VO,61026,TL,L,0.008,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,21,2.5 X10-1 D 8.67 X10-3 M,BD,REFRACTIVE INDEX,HUIS,64047,T M,L,0.25,D,0.00867,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,21,2.30 X10-1 D 7.977X10-3 M,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T M,L,0.23,D,0.007977,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,21,2.15 X10-1 D 7.457X10-3 M,BB,SURFACE TENSION LOG PLOT,HUIS,64047,T M,L,0.215,D,0.007457,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,23,8. X10-3 N,CD,UNSPECIFIED CONDUCTANCE,TART LELO,55021,T,L,0.008,N,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,24.7,1.3 X10-1 P,HC,SPECFC CONDCTNCE GRAPH,ROSS BRAM,57031,T,L,0.13,P,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,1.83 X10-1 D 6.347X10-3 M,CG,VISUAL SPCTR CHNGE PNCN,SCHI FOWK,57014,T M,L,0.183,D,0.006347,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,2.21 X10-1 D 7.665X10-3 M,CB,UNSPECIFIED CONDUCTANCE,SCHI FOWK,57014,T M,L,0.221,D,0.007665,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,7.4 X10-3 M,BB,SURFACE TENSION LOG PLOT,MIYA,60029,T,L,0.0074,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,2.330X10-1 D 8.081X10-3 M,BA,EQUIV CONDCTNCE GRAPH,WILL MYSE,55005,T M,1,0.233,D,0.008081,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,2.340X10-1 D 8.116X10-3 M,BA,FOTOMTR SOLUBLZTN OROT,WILL MYSE,55005,T M,1,0.234,D,0.008116,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,2.36 X10-1 D 3.185X10-3 M,BB,DEBYE PLT LIGHT SCATTER,WILL MYSE,55005,T M,1,0.236,D,0.003185,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.39 X10-3 W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,0.00839,W,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25.2,8.0 X10-3 M,BA,AVER SP EQUIV COND,FLOC UBBE,53008,T,L,0.008,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.2 X10-3 M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,L,0.0082,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,5.8 X10-3 M,CC,REFRACTIVE INDEX,KLEV,48005,T,L,0.0058,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,6. X10-3 M,CE,ELECTROMOTIVE FORCE,STAN RADL,60021,T,L,0.006,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.1 X10-3 N,CC,UNSPECIFIED CONDUCTANCE,HAFF PICC,42003,T,L,0.0081,N,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,7.8 X10-3 M,BB,EQUIV COND 1ST DEVIATION,GODD HIGH,55018,T,L,0.0078,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.1 X10-3 M,BA,EQUIV CONDCTNCE GRAPH,GODD HIGH,55018,K,1,0.0081,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.3 X10-3 M,HB,FOTOMTR SOLUBLZTN OROT,GINN HARR,60010,G,L,0.0083,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,7.4 X10-3 M,BB,SURFACE TENSION LOG PLOT,SCHI,63026,L,L,0.0074,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,2.324X10-1 D 8.061X10-3 M,BA,FOTOMTR SOLUBLZTN OROT,SCHO,66036,T M,1,0.2324,D,0.008061,M,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.11 X10-3 M,CA,SPECFC CONDCTNCE GRAPH,BENT SPAR,66038,T,L,0.00811,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.3 X10-3 M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,L,0.0083,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.8 X10-3 M,BC,VISCOSITY,MIUR MATS,57025,T,L,0.0088,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.3 X10-3 M,BB,SURFACE TNSN LINEAR PLOT,MIUR MATS,57025,TA,1,0.0083,M,,,,
1,288.3,SODIUM DODECYL 1 SULFATE,,25,8.2 X10-3 M,BC,EQUIV CONDCTNCE GRAPH,MIUR MATS,57025,T,L,0.0082,M,,,,
