名称,smiles,EO,PO,亲油亲水值HLB,CMC（临界胶束浓度）,表面张力（γcmc）,界面张力（IFT）,润湿性接触角θ,最小分子截面积Amin,最大表面过剩浓度Γmax,表面张力降低效率参数Pc20,文献或来源（如果可以）
M100,CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+],0.0,3.0,,0.00035,35.74,,,0.845,1.97e-06,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M100; MC12P3P 99.5wt%; DC12P3P 0.00wt%
M95,CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],0.0,3.0,,0.00023,31.08,,,1.03,1.62e-06,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M95; MC12P3P 94.3wt%; DC12P3P 4.63wt%
M90,CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],0.0,3.0,,0.00023,30.27,,,1.28,1.3e-06,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M90; MC12P3P 89.3wt%; DC12P3P 9.72wt%
M85,CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],0.0,3.0,,0.00021,30.04,,,1.44,1.16e-06,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M85; MC12P3P 84.6wt%; DC12P3P 14.4wt%
M80,CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)(O)[O-].[Na+].CCCCCCCCCCCCOC(C)COC(C)COC(C)COP(=O)([O-])OCC(C)OCC(C)OCC(C)OCCCCCCCCCCCC.[Na+],0.0,3.0,,0.0002,29.34,,,2.76,6.02e-07,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表1-2; M80; MC12P3P 79.1wt%; DC12P3P 20.7wt%
SLE3S,CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],3.0,0.0,,0.0007,40.76,,,0.79,2.1e-06,,李猛等; 磷酸酯型extended表面活性剂的性能研究; 表2; SLE3S reference
C10E3P3S,CCCCCC(CCC)COCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+],3.0,3.0,,0.00287,36.4,,,1.03,1.45e-06,3.45,Yue et al.; Synthesis and properties of branched alcohol alkoxylate sulfates; RSC Advances 2025; DOI 10.1039/D5RA05419B; Supporting Information Table S2; C10E3P3S
C10P3E3S,CCCCCC(CCC)COC(C)COC(C)COC(C)COCCOCCOCCOS(=O)(=O)[O-].[Na+],3.0,3.0,,0.00115,35.2,,,1.28,1.3e-06,4.24,Yue et al.; Synthesis and properties of branched alcohol alkoxylate sulfates; RSC Advances 2025; DOI 10.1039/D5RA05419B; Supporting Information Table S2; C10P3E3S
C10E3S,CCCCCC(CCC)COCCOCCOCCOS(=O)(=O)[O-].[Na+],3.0,0.0,,0.00511,33.56,,,1.02,1.64e-06,3.31,Yue et al.; Synthesis and properties of branched alcohol alkoxylate sulfates; RSC Advances 2025; DOI 10.1039/D5RA05419B; Supporting Information Table S2; C10E3S
OE3P3S 10:0,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+],3.4,3.0,,0.00072,36.16,,,2.0326,8.2e-07,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S 10:0"
OE3P3S/CTAB 2:8 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,0.00018,33.06,,,0.623,2.67e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 2:8 mixture"
OE3P3S/CTAB 3:7 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,0.0005,33.02,,,0.9176,1.81e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 3:7 mixture"
OE3P3S/CTAB 4:6 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,0.00011,33.4,,,0.4162,3.99e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 4:6 mixture"
OE3P3S/CTAB 5:5 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,6.5e-05,33.03,,,0.9962,1.67e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 5:5 mixture"
OE3P3S/CTAB 6:4 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,1.6e-05,32.13,,,0.3521,4.72e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 6:4 mixture"
OE3P3S/CTAB 7:3 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,8.8e-05,32.19,,,0.9111,1.82e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 7:3 mixture"
