SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.677780705,34.8,,,37.2,3.09,0
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,2.200659451,29.8,0.000003,0.55,42.2,3.2,0
CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.8569852,44,0.0000011,1.51,28,3.18,0
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25,1.787013815,39.2,0.0000029,0.57,32.8,2.2,0
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],anionic,25,2.031517051,38,0.0000033,0.5,34,2.41,2
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],anionic,25,1.958607315,39,0.0000029,0.57,33,2.41,2
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],anionic,25,1.522878745,20.2,0.0000028,0.59,51.8,2.57,2
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25,1.537602002,20.6,0.0000039,0.43,51.4,2.51,2
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,1.522878745,24.6,0.000004,0.42,47.4,2.5,2
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],anionic,25,1.879426069,35.2,0.00000155,1.07,36.8,2.85,2
CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,2.602059991,41,0.0000029,0.572599678,31,3.05,8
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.537602002,41.4,0.0000026,0.64,30.6,2.94,9
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.408935393,41.1,0.0000032,0.52,30.9,3.73,9
