target,model,run_dir,timestamp,test_rmse,test_mae,test_r2,best_cv_rmse
Pi_CMC,catboost,runs\Pi_CMC\Pi_CMC_catboost_20260806_155128,2026-08-06 17:08:56,4.3069,2.9607,0.6424,3.7878
Pi_CMC,cif,runs\Pi_CMC\Pi_CMC_cif_20260806_171025,2026-08-06 17:13:08,4.4869,2.9857,0.6119,3.8665
Pi_CMC,histgb,runs\Pi_CMC\Pi_CMC_histgb_20260806_171314,2026-08-06 17:39:10,4.5919,3.0901,0.5935,4.0659
Pi_CMC,lightgbm,runs\Pi_CMC\Pi_CMC_lightgbm_20260806_174010,2026-08-06 17:41:59,4.4858,3.1482,0.6121,4.0237
Pi_CMC,mlp,runs\Pi_CMC\Pi_CMC_mlp_20260806_182308,2026-08-06 18:23:23,4.8837,3.319,0.5402,4.1786,3.6857
Pi_CMC,ngboost,runs\Pi_CMC\Pi_CMC_ngboost_20260806_182509,2026-08-06 19:36:44,4.3943,3.1303,0.6277,4.0595
Pi_CMC,rf,runs\Pi_CMC\Pi_CMC_rf_20260806_193704,2026-08-06 19:39:18,4.7542,3.218,0.5642,4.1658
Pi_CMC,rnn,runs\Pi_CMC\Pi_CMC_rnn_20260806_194102,2026-08-06 19:44:00,7.3144,5.7415,-0.0315,7.2222
Pi_CMC,transformer,runs\Pi_CMC\Pi_CMC_transformer_20260806_195418,2026-08-06 20:14:08,7.4369,5.8167,-0.0663,7.2027
Pi_CMC,xgboost,runs\Pi_CMC\Pi_CMC_xgboost_20260806_202114,2026-08-06 20:39:57,4.2675,2.9343,0.6489,4.0309,3.7673
