target,model,run_dir,timestamp,best_cv_rmse,test_mae,test_r2,test_rmse
,lightgbm,runs\lightgbm_20260722_180432,2026-07-22 18:08:41,0.4818,0.2745,0.8602,0.4155
,catboost,runs\catboost_20260722_181638,2026-07-22 19:30:44,0.4622,0.2669,0.8733,0.3955
,xgboost,runs\xgboost_20260722_193605,2026-07-22 20:07:40,0.4916,0.2695,0.8706,0.3998
,mlp,runs\mlp_20260723_091558,2026-07-23 09:17:54,0.0691,0.2582,0.869,0.4022
,mlp,runs\mlp_20260723_091919,2026-07-23 09:22:25,0.0557,0.2578,0.8679,0.4039
,rnn,runs\rnn_20260723_092955,2026-07-23 09:36:43,0.1447,0.3619,0.7587,0.5459
,histgb,runs\histgb_20260723_103854,2026-07-23 10:39:03,,0.3094,0.828,0.4609
,ngboost,runs\ngboost_20260723_150347,2026-07-23 15:04:15,,0.2853,0.8605,0.415
,rf,runs\rf_20260723_151026,2026-07-23 15:15:49,0.52,0.3355,0.8128,0.4808
,cif,runs\cif_20260723_152733,2026-07-23 15:32:29,0.4769,0.2701,0.8751,0.3928
,mlp,runs\mlp_20260723_173509,2026-07-23 17:35:58,0.1269,0.2403,0.9052,0.3422
AW_ST_CMC,lightgbm,runs\AW_ST_CMC\AW_ST_CMC_lightgbm_20260724_102940,2026-07-24 10:37:54,4.1933,3.2794,0.6291,4.3567
AW_ST_CMC,rf,runs\AW_ST_CMC\AW_ST_CMC_rf_20260724_104335,2026-07-24 10:46:25,4.3051,3.4557,0.5621,4.734
AW_ST_CMC,lightgbm,runs\AW_ST_CMC\AW_ST_CMC_lightgbm_20260724_110941,2026-07-24 11:18:32,4.1933,3.2794,0.6291,4.3567
AW_ST_CMC,cif,runs\AW_ST_CMC\AW_ST_CMC_cif_20260724_111953,2026-07-24 11:22:16,4.1738,3.4126,0.57,4.6913
