target,model,run_dir,timestamp,test_rmse,test_mae,test_r2,best_cv_rmse
pC20,catboost,runs\pC20\pC20_catboost_20260806_104441,2026-08-06 12:04:08,0.6276,0.422,0.7237,0.5527
pC20,cif,runs\pC20\pC20_cif_20260806_120523,2026-08-06 12:07:45,0.6422,0.461,0.7108,0.5815
pC20,histgb,runs\pC20\pC20_histgb_20260806_120916,2026-08-06 12:29:35,0.7441,0.5235,0.6116,0.5976
pC20,lightgbm,runs\pC20\pC20_lightgbm_20260806_123004,2026-08-06 12:32:12,0.6919,0.4882,0.6643,0.5869
pC20,mlp,runs\pC20\pC20_mlp_20260806_130514,2026-08-06 13:05:25,0.5168,0.3804,0.8127,0.4625,0.5062
pC20,ngboost,runs\pC20\pC20_ngboost_20260806_133537,2026-08-06 14:50:25,0.6652,0.4741,0.6897,0.5775
pC20,rf,runs\pC20\pC20_rf_20260806_145134,2026-08-06 14:53:40,0.6644,0.4743,0.6904,0.6481
pC20,rnn,runs\pC20\pC20_rnn_20260806_145717,2026-08-06 14:59:30,0.8516,0.5886,0.4913,0.6843
pC20,transformer,runs\pC20\pC20_transformer_20260806_150057,2026-08-06 15:09:47,1.048,0.8417,0.2297,0.96
pC20,xgboost,runs\pC20\pC20_xgboost_20260806_151000,2026-08-06 15:26:07,0.6498,0.4665,0.7039,0.6101,0.6056
