target,model,run_dir,timestamp,test_rmse,test_mae,test_r2,best_cv_rmse
pCMC,catboost,runs\pCMC\pCMC_catboost_20260802_121541,2026-08-02 13:26:18,0.4235,0.2953,0.8548,0.4622
pCMC,cif,runs\pCMC\pCMC_cif_20260802_144459,2026-08-02 14:49:45,0.3928,0.2701,0.8751,0.4769
pCMC,histgb,runs\pCMC\pCMC_histgb_20260802_150138,2026-08-02 15:44:42,0.4609,0.3094,0.828,0.4835
pCMC,lightgbm,runs\pCMC\pCMC_lightgbm_20260802_155314,2026-08-02 15:56:56,0.4311,0.2862,0.8495,0.4818
pCMC,mlp,runs\pCMC\pCMC_mlp_20260802_172700,2026-08-02 17:27:20,0.4241,0.3163,0.8543,0.448,0.4313
pCMC,ngboost,runs\pCMC\pCMC_ngboost_20260802_172739,2026-08-02 17:28:10,0.415,0.2853,0.8605
pCMC,rf,runs\pCMC\pCMC_rf_20260802_172839,2026-08-02 17:34:04,0.4808,0.3355,0.8128,0.52
pCMC,rnn,runs\pCMC\pCMC_rnn_20260802_173512,2026-08-02 17:41:04,0.4664,0.355,0.8239,0.5611
pCMC,transformer,runs\pCMC\pCMC_transformer_20260802_174306,2026-08-02 18:42:04,0.6136,0.4386,0.6951,0.5501
pCMC,xgboost,runs\pCMC\pCMC_xgboost_20260802_201550,2026-08-02 20:16:01,0.4199,0.2849,0.8572
